year	unit_code	category_cd	total_expense_num	salary_expense_pct	benefits_expense_pct	services_expense_pct	supplies_expense_pct	instruct_equip_exp_pct	other_expense_pct	federal_perpupil_num	local_perpupil_num	state_perpupil_num	lea_total_expense_num	lea_salary_expense_pct	lea_benefits_expense_pct	lea_services_expense_pct	lea_supplies_expense_pct	lea_instruct_equip_exp_pct	lea_other_expense_pct	lea_federal_perpupil_num	lea_local_perpupil_num	lea_state_perpupil_num	st_total_expense_num	st_salary_expense_pct	st_benefits_expense_pct	st_services_expense_pct	st_supplies_expense_pct	st_instruct_equip_exp_pct	st_other_expense_pct	st_federal_perpupil_num	st_local_perpupil_num	st_state_perpupil_num	building_expense_pct	lea_building_expense_pct	st_building_expense_pct
2013	260321	M											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260332	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260347	H											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260352	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260354	H											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260356	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260361	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260363	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260365	M											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260369	M											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260371	M											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260372	M											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260373	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260382	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260386	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260396	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260401	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260403	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260404	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260407	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260412	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260414	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260416	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260424	H											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260426	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260428	M											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260440	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
